game_id,play_id,nfl_id,A,S,E,Eyes,Innovation,Improv,PER10,PER10_360,quick_instinct,player_side
2023090700,101,43290,10,10.0,5,3.46,0.43,3.09,6.0,5.0,0,
2023090700,101,44930,4,3.0,7,4.45,1.83,3.31,4.0,4.0,0,Offense
2023090700,101,46137,2,10.0,4,6.3,0.33,2.54,5.0,4.0,0,Defense
2023090700,101,52546,10,8.0,5,7.57,0.21,2.74,6.0,6.0,0,Defense
2023090700,101,53487,2,3.0,6,4.14,0.33,1.89,3.0,3.0,0,Defense
2023090700,101,53541,4,3.0,7,3.63,2.08,4.93,4.0,4.0,0,
2023090700,101,53959,2,3.0,7,3.22,0.88,3.26,3.0,3.0,0,
2023090700,101,54486,10,3.0,5,3.69,0.23,2.8,4.0,4.0,0,Defense
2023090700,101,54527,6,10.0,4,6.72,0.45,1.69,5.0,5.0,0,Defense
2023090700,194,41325,10,3.0,4,6.79,1.09,3.98,5.0,5.0,0,Offense
2023090700,194,44822,10,3.0,5,6.71,0.26,2.12,5.0,5.0,0,
2023090700,194,44888,2,5.0,5,3.27,0.17,1.73,3.0,3.0,0,Defense
2023090700,194,44906,10,5.0,6,4.31,0.23,3.26,5.0,5.0,0,Defense
2023090700,194,46213,6,3.0,6,3.63,1.62,4.62,4.0,4.0,0,
2023090700,194,46243,6,3.0,5,8.83,0.76,3.48,5.0,5.0,0,
2023090700,194,47888,10,3.0,5,3.1,0.19,3.26,4.0,4.0,0,Defense
2023090700,194,53591,6,3.0,7,5.88,1.08,3.85,5.0,4.0,0,
2023090700,194,53953,10,3.0,4,6.95,0.7,3.02,5.0,5.0,0,Defense
2023090700,194,54519,10,3.0,6,9.34,0.68,3.81,6.0,5.0,0,
2023090700,194,54562,10,3.0,5,4.89,0.1,3.54,5.0,4.0,0,Defense
2023090700,194,54653,10,6.0,7,3.03,0.14,2.71,5.0,5.0,0,Defense
2023090700,194,55910,6,6.0,5,5.4,0.81,3.19,5.0,4.0,0,Defense
2023090700,219,44822,10,3.0,4,7.28,0.38,2.58,5.0,5.0,0,
2023090700,219,44888,8,5.0,5,3.06,2.15,5.32,5.0,5.0,0,Defense
2023090700,219,44906,10,3.0,5,4.94,0.31,3.42,5.0,4.0,0,Defense
2023090700,219,46243,6,3.0,7,6.93,1.14,3.94,5.0,5.0,0,
2023090700,219,46309,10,3.0,6,9.67,0.67,3.46,6.0,5.0,0,
2023090700,219,47888,10,3.0,3,3.65,1.17,3.02,4.0,4.0,0,Defense
2023090700,219,52440,10,3.0,6,6.86,1.59,3.69,5.0,5.0,0,
2023090700,219,53542,6,3.0,6,3.39,0.64,2.92,4.0,4.0,0,Defense
2023090700,219,53591,6,3.0,6,5.29,0.37,3.88,4.0,4.0,0,Offense
2023090700,219,53953,10,3.0,4,9.02,0.26,2.75,5.0,5.0,0,Defense
2023090700,219,54519,6,3.0,6,9.49,0.31,3.68,5.0,5.0,0,
2023090700,219,54562,10,5.0,4,4.24,0.64,2.54,5.0,4.0,0,Defense
2023090700,219,55910,6,3.0,6,3.34,0.08,3.05,4.0,4.0,0,Defense
2023090700,361,38696,6,3.0,7,9.35,1.63,2.82,5.0,5.0,0,Offense
2023090700,361,43290,10,10.0,4,5.69,0.64,2.47,6.0,5.0,0,
2023090700,361,43584,6,3.0,8,9.49,0.7,2.72,5.0,5.0,0,
2023090700,361,46137,6,10.0,6,3.04,0.42,2.39,5.0,5.0,0,Defense
2023090700,361,47882,10,5.0,5,3.51,0.24,3.09,5.0,4.0,0,Defense
2023090700,361,52546,10,3.0,5,4.67,0.12,2.79,5.0,4.0,0,Defense
2023090700,361,53541,2,10.0,7,5.81,0.32,2.97,5.0,5.0,0,
2023090700,361,54486,6,3.0,4,3.3,0.18,2.79,3.0,3.0,0,Defense
2023090700,361,54495,10,3.0,4,3.25,0.37,2.24,4.0,4.0,0,Defense
2023090700,361,54527,6,6.0,5,3.46,0.2,2.81,4.0,4.0,0,Defense
2023090700,361,55899,10,3.0,5,9.51,0.94,2.88,6.0,5.0,0,
2023090700,436,38696,8,3.0,7,4.11,0.27,3.02,4.0,4.0,0,
