game_id,play_id,nfl_id,player_name,player_position,player_role,player_side
2023090700,101,43290,Jared Goff,QB,Passer,Offense
2023090700,101,44930,Josh Reynolds,WR,Targeted Receiver,Offense
2023090700,101,46137,Justin Reid,SS,Defensive Coverage,Defense
2023090700,101,52546,L'Jarius Sneed,CB,Defensive Coverage,Defense
2023090700,101,53487,Nick Bolton,MLB,Defensive Coverage,Defense
2023090700,101,53541,Amon-Ra St. Brown,WR,Other Route Runner,Offense
2023090700,101,53959,Brock Wright,TE,Other Route Runner,Offense
2023090700,101,54486,Trent McDuffie,CB,Defensive Coverage,Defense
2023090700,101,54527,Bryan Cook,FS,Defensive Coverage,Defense
2023090700,194,41325,Jerick McKinnon,RB,Targeted Receiver,Offense
2023090700,194,44822,Patrick Mahomes,QB,Passer,Offense
2023090700,194,44888,Alex Anzalone,OLB,Defensive Coverage,Defense
2023090700,194,44906,Cameron Sutton,CB,Defensive Coverage,Defense
2023090700,194,46213,Justin Watson,WR,Other Route Runner,Offense
2023090700,194,46243,Marquez Valdes-Scantling,WR,Other Route Runner,Offense
2023090700,194,47888,C.J. Gardner-Johnson,SS,Defensive Coverage,Defense
2023090700,194,53591,Noah Gray,TE,Other Route Runner,Offense
2023090700,194,53953,Jerry Jacobs,CB,Defensive Coverage,Defense
2023090700,194,54519,Skyy Moore,WR,Other Route Runner,Offense
2023090700,194,54562,Kerby Joseph,FS,Defensive Coverage,Defense
2023090700,194,54653,Malcolm Rodriguez,ILB,Defensive Coverage,Defense
2023090700,194,55910,Brian Branch,SS,Defensive Coverage,Defense
2023090700,219,44822,Patrick Mahomes,QB,Passer,Offense
2023090700,219,44888,Alex Anzalone,OLB,Defensive Coverage,Defense
2023090700,219,44906,Cameron Sutton,CB,Defensive Coverage,Defense
2023090700,219,46243,Marquez Valdes-Scantling,WR,Other Route Runner,Offense
2023090700,219,46309,Richie James,WR,Other Route Runner,Offense
2023090700,219,47888,C.J. Gardner-Johnson,SS,Defensive Coverage,Defense
2023090700,219,52440,Clyde Edwards-Helaire,RB,Other Route Runner,Offense
2023090700,219,53542,Derrick Barnes,MLB,Defensive Coverage,Defense
2023090700,219,53591,Noah Gray,TE,Targeted Receiver,Offense
2023090700,219,53953,Jerry Jacobs,CB,Defensive Coverage,Defense
2023090700,219,54519,Skyy Moore,WR,Other Route Runner,Offense
2023090700,219,54562,Kerby Joseph,FS,Defensive Coverage,Defense
2023090700,219,55910,Brian Branch,SS,Defensive Coverage,Defense
2023090700,361,38696,Marvin Jones,WR,Targeted Receiver,Offense
2023090700,361,43290,Jared Goff,QB,Passer,Offense
2023090700,361,43584,Kalif Raymond,WR,Other Route Runner,Offense
2023090700,361,46137,Justin Reid,SS,Defensive Coverage,Defense
2023090700,361,47882,Mike Edwards,FS,Defensive Coverage,Defense
2023090700,361,52546,L'Jarius Sneed,CB,Defensive Coverage,Defense
2023090700,361,53541,Amon-Ra St. Brown,WR,Other Route Runner,Offense
2023090700,361,54486,Trent McDuffie,CB,Defensive Coverage,Defense
