play_id,frame_id,nfl_id,object_type,x,y,source
1869,18,54600,player,71.25,14.46,tracking
1869,18,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,19,54600,player,70.76,14.5,tracking
1869,19,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,20,54600,player,70.24,14.51,tracking
1869,20,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,21,54600,player,69.69,14.51,tracking
1869,21,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,22,54600,player,69.13,14.5,tracking
1869,22,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,23,54600,player,68.56,14.49,tracking
1869,23,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,24,54600,player,67.99,14.49,tracking
1869,24,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,25,54600,player,67.42,14.51,tracking
1869,25,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,26,54600,player,66.86,14.56,tracking
1869,26,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,27,54600,player,66.31,14.64,tracking
1869,27,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,28,54600,player,65.78,14.78,tracking
1869,28,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,18,52546,player,70.31,38.99,tracking
1869,18,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,19,52546,player,70.02,38.93,tracking
1869,19,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,20,52546,player,69.74,38.86,tracking
1869,20,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,21,52546,player,69.47,38.79,tracking
1869,21,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,22,52546,player,69.23,38.71,tracking
1869,22,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,23,52546,player,69.02,38.62,tracking
1869,23,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,24,52546,player,68.85,38.53,tracking
1869,24,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,25,52546,player,68.74,38.41,tracking
1869,25,-1,ball,72.0299987792969,31.0799999237061,tracking
1869,26,52546,player,68.68,38.29,tracking
